Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,11/08/2023,Burnley,Man City,0,3,A
E0,12/08/2023,Arsenal,Nottingham Forest,2,1,H
E0,12/08/2023,Bournemouth,West Ham,1,1,D
E0,12/08/2023,Brighton,Luton,4,1,H
E0,12/08/2023,Everton,Fulham,0,1,A
E0,12/08/2023,Sheffield United,Crystal Palace,0,1,A
E0,12/08/2023,Newcastle,Aston Villa,5,1,H
E0,13/08/2023,Brentford,Tottenham,2,2,D
E0,13/08/2023,Chelsea,Liverpool,1,1,D
E0,14/08/2023,Man United,Wolves,1,0,H
E0,18/08/2023,Nottingham Forest,Sheffield United,2,1,H
E0,19/08/2023,Fulham,Brentford,0,3,A
E0,19/08/2023,Liverpool,Bournemouth,3,1,H
E0,19/08/2023,Luton,Burnley,1,2,A
E0,19/08/2023,Wolves,Brighton,1,4,A
E0,19/08/2023,Tottenham,Man United,2,0,H
E0,19/08/2023,Man City,Newcastle,1,0,H
E0,20/08/2023,Aston Villa,Everton,4,0,H
E0,20/08/2023,West Ham,Chelsea,3,1,H
E0,21/08/2023,Crystal Palace,Arsenal,0,1,A
